"","NTDID","Agency","SSW","Mode","TOS","Capital.Use.Type","Guideway","Passenger.Stations","Administrative.Buildings","Maintenance.Buildings","Revenue.Vehicles","Service.Vehicles..non.revenue.","Fare.Revenue.Collection.Equipment","Communications.Information.Systems","Other","Small.Systems.Waiver","Total.Funds"
"41","4078","Cobb County Department of Transportation Authority","N","CB","PT","Expanded Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"42","4078","Cobb County Department of Transportation Authority","N","CB","PT","Existing Service",NA,NA,6179,NA,NA,NA,164462,NA,30296,NA,200937
"43","4078","Cobb County Department of Transportation Authority","N","DR","PT","Existing Service",NA,NA,3870287,NA,NA,NA,215066,NA,109613,NA,4194966
"44","4078","Cobb County Department of Transportation Authority","N","DR","PT","Expanded Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"45","4078","Cobb County Department of Transportation Authority","N","MB","PT","Existing Service",NA,NA,NA,NA,NA,NA,885565,NA,163135,NA,1048700
"46","4078","Cobb County Department of Transportation Authority","N","MB","PT","Expanded Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"47","4082","Douglas County Rideshare","N","VP","DO","Expanded Service",NA,NA,NA,NA,238052,NA,NA,NA,NA,NA,238052
"48","4082","Douglas County Rideshare","N","VP","DO","Existing Service",NA,NA,NA,NA,136110,NA,NA,NA,NA,NA,136110
"49","4130","Macon-Bibb County Transit Authority","Y","DR","DO","Expanded Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"50","4130","Macon-Bibb County Transit Authority","Y","DR","DO","Existing Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"51","4130","Macon-Bibb County Transit Authority","Y","DR","DO","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,62232,62232
"52","4130","Macon-Bibb County Transit Authority","Y","MB","DO","Expanded Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"53","4130","Macon-Bibb County Transit Authority","Y","MB","DO","Existing Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"54","4130","Macon-Bibb County Transit Authority","Y","MB","DO","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,492442,492442
"55","4135","Georgia Regional Transportation Authority","N","CB","PT","Expanded Service",NA,3094606,NA,NA,NA,NA,NA,NA,NA,NA,3094606
"56","4135","Georgia Regional Transportation Authority","N","CB","PT","Existing Service",NA,NA,NA,NA,NA,NA,116405,NA,NA,NA,116405
"57","4135","Georgia Regional Transportation Authority","N","VP","PT","Expanded Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"58","4135","Georgia Regional Transportation Authority","N","VP","PT","Existing Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"59","4138","Gwinnett County Board of Commissioners","N","CB","PT","Expanded Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"60","4138","Gwinnett County Board of Commissioners","N","CB","PT","Existing Service",NA,NA,NA,NA,NA,NA,20873,1155086,759854,NA,1935813
"61","4138","Gwinnett County Board of Commissioners","N","DR","PT","Expanded Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"62","4138","Gwinnett County Board of Commissioners","N","DR","PT","Existing Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"63","4138","Gwinnett County Board of Commissioners","N","MB","PT","Expanded Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"64","4138","Gwinnett County Board of Commissioners","N","MB","PT","Existing Service",NA,NA,NA,NA,NA,NA,19134,1058829,696532,NA,1774495
"65","4144","Hall Area Transit","N","DR","DO","Expanded Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"66","4144","Hall Area Transit","N","DR","DO","Existing Service",NA,NA,NA,NA,NA,NA,NA,54883,NA,NA,54883
